22:01:09,375 - [main] DEBUG com.Technion.ie.BaseLine.CkyAlg  - [What, animal, do, buffalo, wings, come, from, ?]
22:01:33,544 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP+NUM) :is-1.0
22:01:33,558 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,X) = q(X->,)
22:01:33,560 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,X) = [X,,]
22:01:33,561 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,X) :is-1.0
22:01:33,649 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,X) = q(X->,)
22:01:33,651 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,X) = [X,,]
22:01:33,652 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,X) :is-1.0
22:01:33,676 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NUM) = q(NUM->,)
22:01:33,677 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NUM) = [NUM,,]
22:01:33,678 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NUM) :is-1.0
22:01:33,779 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,QP) = q(QP->DET,NOUN)
22:01:33,781 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,QP) = [QP,[DET,What],[NOUN,animal]]
22:01:33,783 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,QP) :is3.1999401365045234E-5
22:01:33,947 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,ADJ) = q(ADJ->,)
22:01:33,949 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,ADJ) = [ADJ,,]
22:01:33,950 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,ADJ) :is-1.0
22:01:34,002 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,NUM) = q(NUM->,)
22:01:34,004 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,NUM) = [NUM,,]
22:01:34,005 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,NUM) :is-1.0
22:01:34,085 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,PRT) = q(PRT->,)
22:01:34,087 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,PRT) = [PRT,,]
22:01:34,088 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,PRT) :is-1.0
22:01:34,125 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NP) = q(NP->,)
22:01:34,127 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NP) = [NP,,]
22:01:34,128 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NP) :is-1.0
22:01:34,153 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,PRT) = q(PRT->,)
22:01:34,154 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,PRT) = [PRT,,]
22:01:34,156 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,PRT) :is-1.0
22:01:34,170 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,WHPP) = q(WHPP->,)
22:01:34,171 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,WHPP) = [WHPP,,]
22:01:34,173 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,WHPP) :is-1.0
22:01:34,184 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,WHADVP+ADV) = q(WHADVP+ADV->,)
22:01:34,185 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,WHADVP+ADV) = [WHADVP+ADV,,]
22:01:34,186 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,WHADVP+ADV) :is-1.0
22:01:34,371 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,PP) = q(PP->,)
22:01:34,372 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,PP) = [PP,,]
22:01:34,374 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,PP) :is-1.0
22:01:34,461 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,ADVP) = q(ADVP->,)
22:01:34,462 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,ADVP) = [ADVP,,]
22:01:34,463 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,ADVP) :is-1.0
22:01:34,496 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,SQ+VP) = q(SQ+VP->,)
22:01:34,497 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,SQ+VP) = [SQ+VP,,]
22:01:34,499 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,SQ+VP) :is-1.0
22:01:34,599 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,PRT+PRT) = q(PRT+PRT->,)
22:01:34,600 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,PRT+PRT) = [PRT+PRT,,]
22:01:34,602 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,PRT+PRT) :is-1.0
22:01:34,679 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,PP+ADP) = q(PP+ADP->,)
22:01:34,681 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,PP+ADP) = [PP+ADP,,]
22:01:34,682 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,PP+ADP) :is-1.0
22:01:34,795 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,S) = q(S->,)
22:01:34,796 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,S) = [S,,]
22:01:34,797 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,S) :is-1.0
22:01:34,957 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,PP+PRT) = q(PP+PRT->,)
22:01:34,958 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,PP+PRT) = [PP+PRT,,]
22:01:34,960 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,PP+PRT) :is-1.0
22:01:35,204 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,VP) = q(VP->,)
22:01:35,206 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,VP) = [VP,,]
22:01:35,207 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,VP) :is-1.0
22:01:35,221 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,VERB) = q(VERB->,)
22:01:35,223 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,VERB) = [VERB,,]
22:01:35,224 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,VERB) :is-1.0
22:01:35,232 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,ADVP+ADV) = q(ADVP+ADV->,)
22:01:35,233 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,ADVP+ADV) = [ADVP+ADV,,]
22:01:35,235 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,ADVP+ADV) :is-1.0
22:01:35,302 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,ADVP) = q(ADVP->,)
22:01:35,303 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,ADVP) = [ADVP,,]
22:01:35,305 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,ADVP) :is-1.0
22:01:35,338 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,3,SQ+VP) = q(SQ+VP->,)
22:01:35,339 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,3,SQ+VP) = [SQ+VP,,]
22:01:35,341 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,3,SQ+VP) :is-1.0
22:01:35,371 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,3,SBARQ) = q(SBARQ->WHNP+PRON,SBARQ)
22:01:35,373 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,3,SBARQ) = [SBARQ,[WHNP+PRON,What],[SBARQ,[SQ,[NP+NOUN,animal],[VP+VERB,do]],[.,buffalo]]]
22:01:35,375 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,3,SBARQ) :is8.900315785350934E-11
22:01:37,910 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(4,7,.) = q(.->,)
22:01:37,912 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(4,7,.) = [.,,]
22:01:37,913 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(4,7,.) :is-1.0
22:01:43,675 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,VERB) = q(VERB->,)
22:01:43,677 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,VERB) = [VERB,,]
22:01:43,678 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,VERB) :is-1.0
22:01:43,689 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,ADVP+ADV) = q(ADVP+ADV->,)
22:01:43,691 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,ADVP+ADV) = [ADVP+ADV,,]
22:01:43,692 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,ADVP+ADV) :is-1.0
22:01:43,723 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NP+ADJ) = q(NP+ADJ->,)
22:01:43,725 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NP+ADJ) = [NP+ADJ,,]
22:01:43,726 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NP+ADJ) :is-1.0
22:01:43,737 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NP+NOUN) = q(NP+NOUN->,)
22:01:43,739 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NP+NOUN) = [NP+NOUN,,]
22:01:43,740 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NP+NOUN) :is-1.0
22:01:43,757 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NP+S) = q(NP+S->,)
22:01:43,759 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NP+S) = [NP+S,,]
22:01:43,760 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NP+S) :is-1.0
22:01:43,794 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NP+NP) = q(NP+NP->,)
22:01:43,795 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NP+NP) = [NP+NP,,]
22:01:43,797 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NP+NP) :is-1.0
22:01:43,808 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,ADJP+ADJ) = q(ADJP+ADJ->,)
22:01:43,809 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,ADJP+ADJ) = [ADJP+ADJ,,]
22:01:43,811 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,ADJP+ADJ) :is-1.0
22:01:43,860 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NP+PRON) = q(NP+PRON->,)
22:01:43,862 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NP+PRON) = [NP+PRON,,]
22:01:43,863 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NP+PRON) :is-1.0
22:01:44,098 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,ADJP) = q(ADJP->,)
22:01:44,100 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,ADJP) = [ADJP,,]
22:01:44,101 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,ADJP) :is-1.0
22:01:44,181 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NP+DET) = q(NP+DET->,)
22:01:44,182 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NP+DET) = [NP+DET,,]
22:01:44,184 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NP+DET) :is-1.0
22:01:44,323 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,ADV) = q(ADV->,)
22:01:44,324 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,ADV) = [ADV,,]
22:01:44,325 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,ADV) :is-1.0
22:01:44,365 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,VP+VERB) = q(VP+VERB->,)
22:01:44,366 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,VP+VERB) = [VP+VERB,,]
22:01:44,368 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,VP+VERB) :is-1.0
22:01:44,446 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NP+X) = q(NP+X->,)
22:01:44,447 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NP+X) = [NP+X,,]
22:01:44,448 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NP+X) :is-1.0
22:01:44,479 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,3,SQ) = q(SQ->,)
22:01:44,480 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,3,SQ) = [SQ,,]
22:01:44,482 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,3,SQ) :is-1.0
22:01:44,545 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,3,WHADVP) = q(WHADVP->,)
22:01:44,546 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,3,WHADVP) = [WHADVP,,]
22:01:44,548 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,3,WHADVP) :is-1.0
22:01:44,590 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,3,WHADJP) = q(WHADJP->,)
22:01:44,592 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,3,WHADJP) = [WHADJP,,]
22:01:44,593 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,3,WHADJP) :is-1.0
22:01:44,631 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,PRT) = q(PRT->,)
22:01:44,632 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,PRT) = [PRT,,]
22:01:44,634 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,PRT) :is-1.0
22:01:44,722 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,PP) = q(PP->,)
22:01:44,723 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,PP) = [PP,,]
22:01:44,724 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,PP) :is-1.0
22:01:44,740 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,PP+ADP) = q(PP+ADP->,)
22:01:44,741 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,PP+ADP) = [PP+ADP,,]
22:01:44,743 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,PP+ADP) :is-1.0
22:01:44,752 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,ADVP+ADV) = q(ADVP+ADV->,)
22:01:44,753 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,ADVP+ADV) = [ADVP+ADV,,]
22:01:44,755 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,ADVP+ADV) :is-1.0
22:01:44,814 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,PRON) = q(PRON->,)
22:01:44,815 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,PRON) = [PRON,,]
22:01:44,817 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,PRON) :is-1.0
22:01:44,835 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,NP+NUM) = q(NP+NUM->,)
22:01:44,837 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,NP+NUM) = [NP+NUM,,]
22:01:44,838 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,NP+NUM) :is-1.0
22:01:44,844 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,NOUN) = q(NOUN->,)
22:01:44,845 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,NOUN) = [NOUN,,]
22:01:44,847 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,NOUN) :is-1.0
22:01:44,971 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,ADJP) = q(ADJP->NOUN,VERB)
22:01:44,972 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,ADJP) = [ADJP,[NOUN,animal],[VERB,do]]
22:01:44,974 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,ADJP) :is4.2569669644136715E-7
22:01:45,003 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,DET) = q(DET->,)
22:01:45,005 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,DET) = [DET,,]
22:01:45,006 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,DET) :is-1.0
22:01:45,027 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,NP+DET) = q(NP+DET->,)
22:01:45,029 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,NP+DET) = [NP+DET,,]
22:01:45,030 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,NP+DET) :is-1.0
22:01:45,042 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,ADV) = q(ADV->,)
22:01:45,044 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,ADV) = [ADV,,]
22:01:45,045 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,ADV) :is-1.0
22:01:45,085 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,.) = q(.->,)
22:01:45,086 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,.) = [.,,]
22:01:45,088 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,.) :is-1.0
22:01:45,111 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,ADV) = q(ADV->,)
22:01:45,113 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,ADV) = [ADV,,]
22:01:45,115 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,ADV) :is-1.0
22:01:45,159 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,SBAR) = q(SBAR->,)
22:01:45,160 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,SBAR) = [SBAR,,]
22:01:45,161 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,SBAR) :is-1.0
22:01:45,185 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,ADJP+ADJ) = q(ADJP+ADJ->,)
22:01:45,186 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,ADJP+ADJ) = [ADJP+ADJ,,]
22:01:45,188 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,ADJP+ADJ) :is-1.0
22:01:45,225 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,QP) = q(QP->,)
22:01:45,226 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,QP) = [QP,,]
22:01:45,228 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,QP) :is-1.0
22:01:45,564 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,NP) = q(NP->VERB,NOUN)
22:01:45,565 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,NP) = [NP,[VERB,do],[NOUN,buffalo]]
22:01:45,567 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,NP) :is4.3554927975740416E-5
22:01:45,636 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,NUM) = q(NUM->,)
22:01:45,637 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,NUM) = [NUM,,]
22:01:45,638 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,NUM) :is-1.0
22:01:46,019 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,VP) = q(VP->VERB,NP+NOUN)
22:01:46,020 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,VP) = [VP,[VERB,do],[NP+NOUN,buffalo]]
22:01:46,023 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,VP) :is8.952445989440358E-4
22:01:46,074 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,X) = q(X->,)
22:01:46,075 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,X) = [X,,]
22:01:46,076 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,X) :is-1.0
22:01:46,261 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,VP+VERB) = q(VP+VERB->,)
22:01:46,263 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,VP+VERB) = [VP+VERB,,]
22:01:46,264 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,VP+VERB) :is-1.0
22:01:46,290 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(2,3,ADJ) = q(ADJ->,)
22:01:46,292 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(2,3,ADJ) = [ADJ,,]
22:01:46,293 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(2,3,ADJ) :is-1.0
22:01:46,305 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,3,NP) = q(NP->NOUN,NP)
22:01:46,307 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,3,NP) = [NP,[NOUN,animal],[NP,[VERB,do],[NOUN,buffalo]]]
22:01:46,309 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,3,NP) :is3.0352724041486275E-9
22:01:46,318 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,PRON) = q(PRON->,)
22:01:46,319 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,PRON) = [PRON,,]
22:01:46,321 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,PRON) :is-1.0
22:01:46,341 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,ADJ) = q(ADJ->,)
22:01:46,342 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,ADJ) = [ADJ,,]
22:01:46,344 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,ADJ) :is-1.0
22:01:46,355 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,NOUN) = q(NOUN->,)
22:01:46,357 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,NOUN) = [NOUN,,]
22:01:46,359 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,NOUN) :is-1.0
22:01:46,388 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,3,NOUN) = q(NOUN->,)
22:01:46,390 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,3,NOUN) = [NOUN,,]
22:01:46,391 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,3,NOUN) :is-1.0
22:01:46,402 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,DET) = q(DET->,)
22:01:46,404 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,DET) = [DET,,]
22:01:46,406 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,DET) :is-1.0
22:01:46,603 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,3,WHNP) = q(WHNP->,)
22:01:46,604 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,3,WHNP) = [WHNP,,]
22:01:46,606 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,3,WHNP) :is-1.0
